CareerStage,IndustryCluster,CareerPath,JobTitle,JobSOCCode,EntryLevelWage,AverageWage
NEXT,Engineering,Medical Services,Pharmacy Assistant,43-5081,36395,61756
NEXT,Healthcare,IT Support,Mechanical Design Engineer,29-1141,43061,53761
NOW,Information Technology,Software Development,Tax Consultant,17-2071,39555,53187
NOW,Healthcare,Automotive Engineering,Junior Software Developer,11-3071,35728,56096
NEXT,Information Technology,Medical Services,Supply Chain Analyst,15-1152,41055,57157
NEXT,Finance,Supply Chain Management,Pharmacy Assistant,11-3071,42569,47344
NOW,Finance,Software Development,Financial Auditor,17-2051,39217,66958
NOW,Finance,IT Support,Pharmacy Assistant,17-2141,36368,48173
NEXT,Engineering,Automotive Engineering,Automotive Quality Engineer,17-2112,44686,50283
NOW,Engineering,IT Support,Logistics Planner,43-5081,43915,65510
NEXT,Information Technology,Automotive Engineering,Cybersecurity Analyst,17-2051,41095,64692
NEXT,Logistics,Software Development,Civil Project Engineer,15-1121,39706,70405
NEXT,Healthcare,Automotive Engineering,Tax Consultant,15-1121,35491,71915
NOW,Healthcare,Supply Chain Management,Electrical Systems Engineer,15-1256,40042,62685
NOW,Healthcare,Supply Chain Management,Cybersecurity Analyst,17-2051,37290,63947
NOW,Healthcare,Automotive Engineering,Pharmacy Assistant,15-1152,32791,73689
NOW,Healthcare,IT Support,Network Administrator,17-2071,41480,57586
NOW,Finance,Software Development,Financial Auditor,13-2051,41944,76925
NEXT,Healthcare,Medical Services,Senior Software Developer,17-2112,37276,75153
NEXT,Healthcare,IT Support,Mechanical Design Engineer,15-1132,42358,79065
NOW,Healthcare,Software Development,Senior Software Developer,15-1121,44908,74814
NOW,Healthcare,IT Support,Automotive Quality Engineer,11-3071,41971,54110
NEXT,Information Technology,Supply Chain Management,Mechanical Design Engineer,13-2051,36831,58609
NEXT,Healthcare,Finance & Accounting,Logistics Planner,17-2071,44242,68542
NEXT,Information Technology,IT Support,Senior Software Developer,15-1152,39742,79086
NEXT,Logistics,IT Support,Clinical Laboratory Technician,13-2051,35856,61615
NEXT,Finance,IT Support,Senior Software Developer,17-2141,34631,45822
NOW,Engineering,Medical Services,Risk Compliance Officer,15-1152,30246,75151
NEXT,Healthcare,Software Development,Cybersecurity Analyst,17-2071,32093,54607
NOW,Information Technology,Supply Chain Management,Tax Consultant,13-2051,35485,79544
NOW,Healthcare,Finance & Accounting,Senior Software Developer,43-5081,40274,45049
NOW,Information Technology,IT Support,Civil Project Engineer,13-2051,40790,70988
NEXT,Finance,Supply Chain Management,Senior Software Developer,17-2112,32278,64134
NEXT,Engineering,IT Support,Automotive Quality Engineer,29-1141,41143,71318
NOW,Finance,IT Support,Automotive Quality Engineer,15-1152,43207,70444
NEXT,Finance,Finance & Accounting,Supply Chain Analyst,15-1152,41637,57555
NOW,Logistics,Supply Chain Management,Senior Software Developer,13-2051,33107,71756
NOW,Logistics,Software Development,IT Support Specialist,11-3071,35857,62117
NEXT,Engineering,Supply Chain Management,Tax Consultant,17-2112,40633,76285
NOW,Healthcare,Supply Chain Management,Automotive Quality Engineer,11-3071,44783,45963
NEXT,Logistics,Medical Services,Clinical Laboratory Technician,43-5081,36769,46192
NOW,Finance,Automotive Engineering,IT Support Specialist,15-1121,38612,70177
NEXT,Information Technology,Automotive Engineering,Tax Consultant,15-1132,31583,50328
NOW,Healthcare,IT Support,Clinical Laboratory Technician,17-2051,31639,60530
NEXT,Healthcare,Software Development,Risk Compliance Officer,43-5081,41298,48091
NEXT,Engineering,Finance & Accounting,Junior Software Developer,15-1152,38030,57406
NEXT,Healthcare,IT Support,Clinical Laboratory Technician,15-1132,35855,65057
NEXT,Finance,Supply Chain Management,Automotive Quality Engineer,15-1132,39006,77336
NEXT,Logistics,Medical Services,IT Support Specialist,11-3071,41717,57530
NEXT,Engineering,Medical Services,Automotive Quality Engineer,13-2051,33676,49336
NOW,Logistics,IT Support,Mechanical Design Engineer,15-1152,39054,60955
NEXT,Logistics,Supply Chain Management,Logistics Planner,17-2112,34149,78243
NEXT,Healthcare,Automotive Engineering,Cybersecurity Analyst,15-1132,40115,75528
NOW,Finance,Software Development,Cybersecurity Analyst,17-2071,32774,51066
NOW,Logistics,Supply Chain Management,Tax Consultant,29-1141,32203,45829
NOW,Information Technology,Software Development,Senior Software Developer,17-2051,33703,46223
NOW,Finance,IT Support,Network Administrator,43-5081,39333,59084
NEXT,Engineering,Finance & Accounting,Senior Software Developer,15-1152,31728,70705
NEXT,Healthcare,Medical Services,Automotive Quality Engineer,17-2112,41905,61037
NEXT,Engineering,Software Development,Civil Project Engineer,17-2071,35319,79989
NEXT,Information Technology,Automotive Engineering,Supply Chain Analyst,17-2141,33324,58451
NOW,Information Technology,IT Support,Civil Project Engineer,15-1132,44835,62942
NOW,Engineering,Supply Chain Management,Warehouse Operations Manager,43-5081,39527,51210
NEXT,Logistics,IT Support,Tax Consultant,11-3071,35951,48835
NEXT,Information Technology,Medical Services,Automotive Quality Engineer,17-2071,41888,54199
NOW,Information Technology,IT Support,Senior Software Developer,29-1141,37377,76991
NOW,Logistics,Software Development,Supply Chain Analyst,43-5081,30174,75708
NEXT,Engineering,IT Support,Cybersecurity Analyst,17-2112,42088,61477
NEXT,Information Technology,Automotive Engineering,Warehouse Operations Manager,15-1132,41350,79229
NOW,Information Technology,Finance & Accounting,Electrical Systems Engineer,17-2051,36246,69827
NOW,Information Technology,IT Support,Tax Consultant,29-1141,41930,66666
NEXT,Logistics,Supply Chain Management,Junior Software Developer,17-2051,37380,62204
NOW,Information Technology,Supply Chain Management,Risk Compliance Officer,15-1132,40730,78410
NEXT,Finance,Finance & Accounting,Electrical Systems Engineer,15-1121,34860,48893
NEXT,Engineering,IT Support,Electrical Systems Engineer,11-3071,44432,63880
NOW,Finance,Automotive Engineering,Logistics Planner,17-2112,30149,68688
NOW,Engineering,Medical Services,Junior Software Developer,17-2141,34728,72011
NEXT,Engineering,Supply Chain Management,Civil Project Engineer,17-2141,42920,55204
NEXT,Logistics,Automotive Engineering,Logistics Planner,17-2051,41421,73579
NEXT,Engineering,Supply Chain Management,Civil Project Engineer,11-3071,36525,68236
NEXT,Engineering,Finance & Accounting,Network Administrator,15-1256,42675,77121
NEXT,Healthcare,Finance & Accounting,Registered Nurse,15-1132,42257,55777
NOW,Finance,Software Development,Junior Software Developer,17-2112,33948,74170
NEXT,Healthcare,Medical Services,Logistics Planner,17-2051,42859,51704
NOW,Engineering,Automotive Engineering,Supply Chain Analyst,15-1121,40845,76065
NOW,Engineering,Software Development,Registered Nurse,43-5081,38323,58309
NOW,Engineering,Supply Chain Management,Registered Nurse,17-2141,40652,51225
NEXT,Healthcare,IT Support,Supply Chain Analyst,17-2141,41976,71234
NOW,Healthcare,Supply Chain Management,Supply Chain Analyst,17-2051,34951,47753
NOW,Engineering,IT Support,Pharmacy Assistant,13-2051,43380,63284
NOW,Information Technology,IT Support,Tax Consultant,29-1141,31721,64038
NOW,Logistics,Automotive Engineering,Risk Compliance Officer,13-2051,32106,62322
NOW,Engineering,IT Support,Senior Software Developer,11-3071,43604,46260
NOW,Healthcare,IT Support,Electrical Systems Engineer,13-2051,43171,61500
NEXT,Healthcare,IT Support,Tax Consultant,15-1152,38694,76948
NEXT,Logistics,Software Development,Junior Software Developer,43-5081,39200,76838
NOW,Finance,Finance & Accounting,Risk Compliance Officer,29-1141,35956,60043
NEXT,Healthcare,IT Support,Pharmacy Assistant,29-1141,42450,49805
NEXT,Logistics,Finance & Accounting,Network Administrator,17-2071,31762,58531
NEXT,Healthcare,Software Development,IT Support Specialist,17-2141,43754,75362
NOW,Information Technology,Automotive Engineering,Automotive Quality Engineer,17-2141,40606,60577
NOW,Healthcare,Medical Services,Registered Nurse,17-2112,44401,73282
NOW,Engineering,Finance & Accounting,Tax Consultant,15-1121,40480,76807
NOW,Healthcare,IT Support,IT Support Specialist,17-2141,39516,62988
NEXT,Information Technology,Finance & Accounting,Mechanical Design Engineer,17-2051,30528,51403
NOW,Healthcare,Medical Services,Registered Nurse,17-2051,40403,54186
NEXT,Information Technology,Supply Chain Management,IT Support Specialist,43-5081,40148,50379
NEXT,Information Technology,Supply Chain Management,Junior Software Developer,29-1141,33043,79682
NEXT,Information Technology,Finance & Accounting,Pharmacy Assistant,43-5081,36886,57405
NOW,Engineering,Supply Chain Management,Risk Compliance Officer,17-2051,41499,74969
NEXT,Information Technology,Finance & Accounting,Electrical Systems Engineer,17-2141,40473,76387
NOW,Logistics,Automotive Engineering,Risk Compliance Officer,15-1132,34272,72624
NEXT,Logistics,Automotive Engineering,Registered Nurse,17-2141,43835,66769
NOW,Finance,Automotive Engineering,Logistics Planner,17-2141,38294,45864
NEXT,Engineering,Software Development,Tax Consultant,17-2071,37292,61680
NOW,Healthcare,Supply Chain Management,Supply Chain Analyst,11-3071,40376,70574
NOW,Finance,Automotive Engineering,IT Support Specialist,17-2141,44331,51604
NOW,Healthcare,Supply Chain Management,Supply Chain Analyst,17-2141,36083,72203
NEXT,Logistics,Software Development,Risk Compliance Officer,15-1121,31642,48262
NEXT,Information Technology,Finance & Accounting,Electrical Systems Engineer,17-2112,36829,51587
NEXT,Engineering,IT Support,Junior Software Developer,15-1132,44864,74874
NOW,Healthcare,Automotive Engineering,Risk Compliance Officer,15-1121,34961,78139
NOW,Healthcare,Finance & Accounting,Financial Auditor,17-2112,41978,64679
NEXT,Finance,Software Development,Clinical Laboratory Technician,17-2071,42966,52420
NEXT,Logistics,Automotive Engineering,Supply Chain Analyst,17-2051,32797,61866
NEXT,Logistics,Finance & Accounting,Cybersecurity Analyst,17-2141,36838,48492
NEXT,Logistics,Supply Chain Management,Risk Compliance Officer,13-2051,40899,46649
NOW,Finance,Automotive Engineering,Registered Nurse,15-1152,37091,73520
NEXT,Logistics,Software Development,Automotive Quality Engineer,15-1152,32867,46604
NEXT,Healthcare,Supply Chain Management,Logistics Planner,17-2112,30947,62235
NOW,Healthcare,IT Support,Supply Chain Analyst,15-1152,35589,61638
NEXT,Logistics,Supply Chain Management,Logistics Planner,17-2112,37074,45259
NOW,Engineering,Medical Services,Pharmacy Assistant,17-2141,41372,72215
NOW,Engineering,Supply Chain Management,Cybersecurity Analyst,17-2051,32960,74803
NOW,Information Technology,Supply Chain Management,Pharmacy Assistant,29-1141,33805,53826
NEXT,Information Technology,Software Development,IT Support Specialist,15-1121,36056,56753
NEXT,Finance,Finance & Accounting,Warehouse Operations Manager,17-2071,35210,74124
NOW,Information Technology,Software Development,Electrical Systems Engineer,17-2141,39454,74406
NOW,Healthcare,Automotive Engineering,Clinical Laboratory Technician,17-2071,40954,64356
NEXT,Logistics,Software Development,Mechanical Design Engineer,17-2141,38245,45538
NOW,Engineering,Automotive Engineering,Automotive Quality Engineer,43-5081,35334,77576
NEXT,Finance,Automotive Engineering,Civil Project Engineer,17-2141,36108,70507
NEXT,Information Technology,Finance & Accounting,Warehouse Operations Manager,29-1141,44780,71921
NEXT,Information Technology,Finance & Accounting,Registered Nurse,29-1141,34983,76965
NOW,Engineering,IT Support,Logistics Planner,11-3071,32786,62621
NEXT,Engineering,Finance & Accounting,Tax Consultant,11-3071,42743,59355
NOW,Healthcare,IT Support,Supply Chain Analyst,17-2051,35458,73210
NEXT,Logistics,Medical Services,Risk Compliance Officer,17-2071,38787,49750
NOW,Logistics,Supply Chain Management,IT Support Specialist,17-2141,31566,65634
NEXT,Information Technology,IT Support,Registered Nurse,11-3071,44924,46842
NOW,Finance,Medical Services,Risk Compliance Officer,17-2071,32594,71381
NOW,Finance,IT Support,Junior Software Developer,29-1141,30125,55296
NOW,Finance,Software Development,Senior Software Developer,43-5081,41244,67126
NEXT,Healthcare,Supply Chain Management,Risk Compliance Officer,15-1256,32990,67428
NEXT,Healthcare,Finance & Accounting,Warehouse Operations Manager,43-5081,36685,56420
NEXT,Logistics,Supply Chain Management,Network Administrator,17-2071,34771,50866
NEXT,Logistics,Medical Services,Junior Software Developer,17-2141,41459,52499
NEXT,Information Technology,Finance & Accounting,Mechanical Design Engineer,15-1132,42266,75046
NOW,Engineering,IT Support,Network Administrator,11-3071,37214,55588
NOW,Engineering,Automotive Engineering,Clinical Laboratory Technician,43-5081,36785,58540
NOW,Engineering,Automotive Engineering,Electrical Systems Engineer,15-1132,39443,65064
NOW,Healthcare,Supply Chain Management,Risk Compliance Officer,15-1132,36770,67570
NEXT,Information Technology,IT Support,Network Administrator,29-1141,39462,54362
NOW,Healthcare,IT Support,Supply Chain Analyst,15-1152,37373,48723
NEXT,Finance,Finance & Accounting,Registered Nurse,43-5081,42406,60268
NEXT,Healthcare,IT Support,Tax Consultant,13-2051,30878,67857
NEXT,Healthcare,IT Support,Pharmacy Assistant,15-1152,42193,52013
NOW,Logistics,Supply Chain Management,Tax Consultant,17-2051,34391,62887
NEXT,Logistics,Supply Chain Management,Network Administrator,17-2071,40970,58773
NEXT,Finance,Automotive Engineering,Automotive Quality Engineer,17-2141,31851,51856
NOW,Engineering,Software Development,Civil Project Engineer,17-2141,43559,50617
NEXT,Engineering,Automotive Engineering,Warehouse Operations Manager,29-1141,42016,47134
NEXT,Information Technology,Software Development,Supply Chain Analyst,11-3071,40969,66752
NEXT,Logistics,Automotive Engineering,Tax Consultant,13-2051,36033,77449
NEXT,Engineering,Finance & Accounting,Network Administrator,17-2141,34971,56382
NEXT,Information Technology,Automotive Engineering,IT Support Specialist,15-1152,44405,54732
NEXT,Finance,Medical Services,Financial Auditor,15-1132,33867,53410
NEXT,Information Technology,Medical Services,Tax Consultant,43-5081,34693,52959
NEXT,Finance,Software Development,Registered Nurse,13-2051,35121,63754
NEXT,Logistics,Automotive Engineering,Supply Chain Analyst,15-1132,35575,66054
NEXT,Finance,Automotive Engineering,Civil Project Engineer,11-3071,44952,74035
NOW,Finance,Software Development,Network Administrator,17-2141,39606,76281
NOW,Logistics,Medical Services,Junior Software Developer,15-1152,38386,79284
NEXT,Information Technology,Automotive Engineering,Risk Compliance Officer,15-1121,32485,59281
NOW,Engineering,Automotive Engineering,Senior Software Developer,43-5081,36890,57923
NEXT,Logistics,Automotive Engineering,Civil Project Engineer,15-1152,35367,58114
NEXT,Information Technology,Medical Services,Civil Project Engineer,11-3071,31549,63007
NOW,Finance,IT Support,Registered Nurse,17-2141,41356,67018
NOW,Finance,Medical Services,Mechanical Design Engineer,15-1132,34552,48395
NEXT,Finance,Medical Services,Cybersecurity Analyst,15-1256,32017,64799
NOW,Information Technology,IT Support,Electrical Systems Engineer,17-2051,33125,52208
NOW,Finance,IT Support,Pharmacy Assistant,17-2112,34757,64295
NEXT,Engineering,Medical Services,Logistics Planner,15-1121,39815,47218
NOW,Logistics,Automotive Engineering,Pharmacy Assistant,15-1132,41686,73554
NEXT,Logistics,IT Support,Pharmacy Assistant,15-1152,38237,56703
NEXT,Information Technology,Finance & Accounting,Registered Nurse,43-5081,38744,59863
NEXT,Finance,IT Support,Electrical Systems Engineer,17-2112,40374,58488
NEXT,Logistics,Medical Services,Clinical Laboratory Technician,17-2112,43098,69075
NOW,Healthcare,Medical Services,IT Support Specialist,15-1256,35554,77920
NOW,Information Technology,IT Support,Senior Software Developer,17-2051,32109,76956
NEXT,Engineering,Software Development,Tax Consultant,15-1132,37034,54500
NEXT,Logistics,Supply Chain Management,Senior Software Developer,17-2112,30299,66394
NEXT,Information Technology,IT Support,Electrical Systems Engineer,17-2051,33069,65840
NEXT,Healthcare,Finance & Accounting,IT Support Specialist,17-2112,35144,77933
NOW,Healthcare,Automotive Engineering,Pharmacy Assistant,15-1132,43095,76208
NOW,Logistics,Medical Services,Electrical Systems Engineer,11-3071,42347,47858
NEXT,Finance,Automotive Engineering,Supply Chain Analyst,15-1152,40386,54269
NOW,Information Technology,Software Development,Tax Consultant,17-2051,35706,47045
NOW,Healthcare,Finance & Accounting,Tax Consultant,15-1256,37300,50937
NEXT,Finance,Finance & Accounting,Registered Nurse,15-1132,33515,67209
NOW,Healthcare,Software Development,Clinical Laboratory Technician,43-5081,34032,48981
NOW,Healthcare,Finance & Accounting,Tax Consultant,17-2071,34996,79731
NOW,Finance,Automotive Engineering,Logistics Planner,15-1121,43632,72319
NEXT,Information Technology,Medical Services,Pharmacy Assistant,15-1121,44417,49067
NOW,Information Technology,Automotive Engineering,Network Administrator,11-3071,35093,51099
NOW,Engineering,Software Development,Automotive Quality Engineer,11-3071,30931,61036
NEXT,Logistics,Medical Services,Senior Software Developer,11-3071,36412,47080
NOW,Finance,Supply Chain Management,Financial Auditor,29-1141,42402,69062
NOW,Finance,IT Support,Network Administrator,13-2051,36426,47611
NEXT,Information Technology,Software Development,Registered Nurse,15-1121,34552,69758
NEXT,Healthcare,IT Support,Network Administrator,15-1121,33882,66832
NEXT,Information Technology,IT Support,Mechanical Design Engineer,43-5081,35233,69276
NOW,Engineering,Finance & Accounting,Registered Nurse,29-1141,38164,69453
NEXT,Logistics,Software Development,Mechanical Design Engineer,17-2112,33699,68057
NOW,Logistics,IT Support,IT Support Specialist,15-1132,42576,67746
